word,pos,cefr_level_avg,cefr_level
attend,VERB,3,B
attendance,NOUN,3,B
attention,NOUN,1,A
attitude,NOUN,2,A
attract,VERB,3,B
attraction,NOUN,3,B
attractive,ADJ,3,B
attribute,VERB,3,B
auction,NOUN,3,B
audience,NOUN,1,A
author,NOUN,2,A
authority,NOUN,2,A
automatic,ADJ,3,B
automatically,ADV,3,B
autumn,NOUN,2,A
availability,NOUN,3,B
available,ADJ,2,A
average,ADJ,2,A
average,NOUN,3,B
avoid,VERB,2,A
award,NOUN,3,B
aware,ADJ,2,A
awareness,NOUN,2,A
away,ADV,1,A
awful,ADJ,3,B
awkward,ADJ,4,B
baby,NOUN,1,A
back,ADJ,2,A
back,ADV,1,A
back,NOUN,1,A
back,VERB,3,B
background,NOUN,2,A
backwards,ADV,3,B
bad,ADJ,1,A
badly,ADV,2,A
bag,NOUN,1,A
balance,NOUN,2,A
balance,VERB,4,B
balcony,NOUN,4,B
ball,NOUN,2,A
ballet,NOUN,4,B
ban,NOUN,3,B
ban,VERB,4,B
band,NOUN,1,A
bank,NOUN,1,A
banker,NOUN,4,B
banking,NOUN,2,A
bar,NOUN,2,A
bare,ADJ,3,B
barn,NOUN,3,B
barrier,NOUN,3,B
base,NOUN,2,A
base,VERB,4,B
basic,ADJ,2,A
basically,ADV,3,B
basin,NOUN,3,B
basis,NOUN,2,A
basket,NOUN,2,A
bath,NOUN,2,A
bathroom,NOUN,2,A
battery,NOUN,2,A
battle,NOUN,2,A
bay,NOUN,2,A
be,VERB,1,A
beach,NOUN,2,A
beam,NOUN,3,B
bean,NOUN,4,B
bear,NOUN,2,A
bear,VERB,2,A
beat,NOUN,3,B
beat,VERB,3,B
beautiful,ADJ,1,A
beauty,NOUN,1,A
become,VERB,2,A
bed,NOUN,1,A
bedroom,NOUN,2,A
beef,NOUN,2,A
beer,NOUN,3,B
before,ADP,1,A
before,ADV,2,A
beg,VERB,3,B
begin,VERB,2,A
beginning,NOUN,2,A
behave,VERB,3,B
behaviour,NOUN,2,A
behind,ADP,1,A
behind,ADV,3,B
belief,NOUN,2,A
believe,VERB,1,A
bell,NOUN,2,A
belong,VERB,3,B
below,ADP,1,A
below,ADV,2,A
belt,NOUN,2,A
bench,NOUN,3,B
bend,VERB,3,B
beneath,ADP,1,A
benefit,NOUN,2,A
benefit,VERB,3,B
beside,ADP,1,A
besides,ADV,4,B
best,ADV,2,A
bet,VERB,3,B
better,ADV,1,A
between,ADP,2,A
beyond,ADP,2,A
bias,NOUN,3,B
bid,NOUN,3,B
big,ADJ,1,A
bike,NOUN,2,A
bill,NOUN,2,A
bill,VERB,4,B
biological,ADJ,2,A
bird,NOUN,2,A
birth,NOUN,1,A
birthday,NOUN,2,A
biscuit,NOUN,4,B
bit,NOUN,2,A
bite,VERB,3,B
bitter,ADJ,3,B
black,ADJ,1,A
black,NOUN,3,B
blade,NOUN,2,A
blame,VERB,3,B
blank,ADJ,3,B
blanket,NOUN,2,A
blend,NOUN,4,B
blind,ADJ,3,B
block,NOUN,2,A
block,VERB,3,B
blood,NOUN,1,A
bloody,ADJ,3,B
blow,NOUN,2,A
blow,VERB,3,B
blue,ADJ,1,A
blue,NOUN,3,B
board,NOUN,2,A
boat,NOUN,1,A
body,NOUN,1,A
bold,ADJ,3,B
bomb,NOUN,2,A
bond,NOUN,3,B
bone,NOUN,2,A
bonus,NOUN,3,B
book,NOUN,1,A
boost,VERB,4,B
boot,NOUN,2,A
border,NOUN,2,A
boring,ADJ,3,B
born,VERB,1,A
borrow,VERB,3,B
boss,NOUN,3,B
both,DET,1,A
bother,VERB,3,B
bottle,NOUN,2,A
bottom,ADJ,3,B
bottom,NOUN,1,A
bound,ADJ,4,B
bound,VERB,2,A
boundary,NOUN,3,B
bowl,NOUN,2,A
box,NOUN,1,A
boy,NOUN,1,A
brain,NOUN,2,A
branch,NOUN,2,A
brand,NOUN,3,B
brass,NOUN,3,B
brave,ADJ,3,B
bravely,ADV,3,B
bread,NOUN,2,A
break,NOUN,3,B
break,VERB,1,A
breakdown,NOUN,3,B
breakfast,NOUN,2,A
breast,NOUN,2,A
breath,NOUN,1,A
breathe,VERB,3,B
breed,NOUN,4,B
breed,VERB,4,B
breeze,NOUN,3,B
bribe,NOUN,4,B
brick,NOUN,2,A
bridge,NOUN,2,A
brief,ADJ,2,A
briefly,ADV,3,B
bright,ADJ,1,A
brilliant,ADJ,3,B
bring,VERB,2,A
broad,ADJ,2,A
broadly,ADV,3,B
broken,ADJ,3,B
bronze,NOUN,4,B
brother,NOUN,1,A
brown,ADJ,2,A
brush,NOUN,2,A
brush,VERB,3,B
budget,NOUN,2,A
build,VERB,1,A
builder,NOUN,3,B
building,NOUN,1,A
bump,VERB,4,B
bunch,NOUN,3,B
bundle,NOUN,3,B
burden,NOUN,3,B
bureaucracy,NOUN,3,B
burglar,NOUN,4,B
burn,VERB,3,B
burst,VERB,3,B
bury,VERB,4,B
bus,NOUN,2,A
bush,NOUN,2,A
business,NOUN,1,A
businessman,NOUN,3,B
busy,ADJ,2,A
but,CONJ,1,A
butter,NOUN,2,A
button,NOUN,2,A
buy,VERB,1,A
buyer,NOUN,3,B
by,ADP,1,A
by,ADV,3,B
bye,ADP,2,A
cab,NOUN,2,A
cab,NOUN,2,A
cable,NOUN,3,B
cake,NOUN,2,A
calculate,VERB,3,B
calculation,NOUN,3,B
calendar,NOUN,2,A
call,NOUN,1,A
call,VERB,1,A
camera,NOUN,2,A
camp,NOUN,1,A
campaign,NOUN,2,A
can,NOUN,3,B
can,VERB,1,A
canal,NOUN,3,B
cancel,VERB,3,B
