word,pos,cefr_level_avg,cefr_level
attend,VERB,3,B
attendance,NOUN,3,B
attention,NOUN,2,A
attitude,NOUN,4,B
attract,VERB,3,B
attraction,NOUN,3,B
attractive,ADJ,3,B
attribute,VERB,3,B
auction,NOUN,5,C
audience,NOUN,2,A
author,NOUN,2,A
authority,NOUN,4,B
automatic,ADJ,3,B
automatically,ADV,3,B
autumn,NOUN,1,A
availability,NOUN,3,B
available,ADJ,3,B
average,ADJ,3,B
average,NOUN,2,A
avoid,VERB,3,B
award,NOUN,3,B
aware,ADJ,3,B
awareness,NOUN,4,B
away,ADV,2,A
awful,ADJ,3,B
awkward,ADJ,4,B
baby,NOUN,1,A
back,ADJ,1,A
back,ADV,1,A
back,NOUN,2,A
back,VERB,2,A
background,NOUN,3,B
backwards,ADV,3,B
bad,ADJ,1,A
badly,ADV,2,A
bag,NOUN,1,A
balance,NOUN,3,B
balance,VERB,4,B
balcony,NOUN,2,A
ball,NOUN,2,A
ballet,NOUN,3,B
ban,NOUN,3,B
ban,VERB,3,B
band,NOUN,2,A
bank,NOUN,2,A
banker,NOUN,2,A
banking,NOUN,2,A
bar,NOUN,3,B
bare,ADJ,3,B
barn,NOUN,4,B
barrier,NOUN,4,B
base,NOUN,3,B
base,VERB,5,C
basic,ADJ,2,A
basically,ADV,2,A
basin,NOUN,4,B
basis,NOUN,3,B
basket,NOUN,2,A
bath,NOUN,1,A
bathroom,NOUN,1,A
battery,NOUN,2,A
battle,NOUN,3,B
bay,NOUN,3,B
be,VERB,1,A
beach,NOUN,1,A
beam,NOUN,4,B
bean,NOUN,2,A
bear,NOUN,1,A
bear,VERB,4,B
beat,NOUN,3,B
beat,VERB,3,B
beautiful,ADJ,2,A
beauty,NOUN,2,A
become,VERB,3,B
bed,NOUN,1,A
bedroom,NOUN,1,A
beef,NOUN,2,A
beer,NOUN,1,A
before,ADP,2,A
before,ADV,1,A
beg,VERB,2,A
begin,VERB,2,A
beginning,NOUN,2,A
behave,VERB,3,B
behaviour,NOUN,2,A
behind,ADP,1,A
behind,ADV,2,A
belief,NOUN,2,A
believe,VERB,2,A
bell,NOUN,2,A
belong,VERB,3,B
below,ADP,2,A
below,ADV,2,A
belt,NOUN,2,A
bench,NOUN,3,B
bend,VERB,3,B
beneath,ADP,2,A
benefit,NOUN,3,B
benefit,VERB,3,B
beside,ADP,1,A
besides,ADV,3,B
best,ADV,1,A
bet,VERB,3,B
better,ADV,2,A
between,ADP,3,B
beyond,ADP,3,B
bias,NOUN,3,B
bid,NOUN,4,B
big,ADJ,1,A
bike,NOUN,1,A
bill,NOUN,2,A
bill,VERB,4,B
biological,ADJ,3,B
bird,NOUN,1,A
birth,NOUN,2,A
birthday,NOUN,1,A
biscuit,NOUN,2,A
bit,NOUN,2,A
bite,VERB,2,A
bitter,ADJ,3,B
black,ADJ,1,A
black,NOUN,1,A
blade,NOUN,2,A
blame,VERB,3,B
blank,ADJ,1,A
blanket,NOUN,2,A
blend,NOUN,3,B
blind,ADJ,2,A
block,NOUN,3,B
block,VERB,3,B
blood,NOUN,1,A
bloody,ADJ,3,B
blow,NOUN,3,B
blow,VERB,2,A
blue,ADJ,1,A
blue,NOUN,1,A
board,NOUN,3,B
boat,NOUN,1,A
body,NOUN,1,A
bold,ADJ,3,B
bomb,NOUN,1,A
bond,NOUN,3,B
bone,NOUN,2,A
bonus,NOUN,3,B
book,NOUN,1,A
boost,VERB,4,B
boot,NOUN,1,A
border,NOUN,3,B
boring,ADJ,1,A
born,VERB,1,A
borrow,VERB,2,A
boss,NOUN,2,A
both,DET,2,A
bother,VERB,4,B
bottle,NOUN,2,A
bottom,ADJ,2,A
bottom,NOUN,1,A
bound,ADJ,4,B
bound,VERB,4,B
boundary,NOUN,4,B
bowl,NOUN,1,A
box,NOUN,1,A
boy,NOUN,1,A
brain,NOUN,2,A
branch,NOUN,4,B
brand,NOUN,3,B
brass,NOUN,3,B
brave,ADJ,2,A
bravely,ADV,3,B
bread,NOUN,2,A
break,NOUN,2,A
break,VERB,1,A
breakdown,NOUN,4,B
breakfast,NOUN,1,A
breast,NOUN,2,A
breath,NOUN,2,A
breathe,VERB,2,A
breed,NOUN,3,B
breed,VERB,4,B
breeze,NOUN,4,B
bribe,NOUN,4,B
brick,NOUN,2,A
bridge,NOUN,2,A
brief,ADJ,2,A
briefly,ADV,3,B
bright,ADJ,2,A
brilliant,ADJ,3,B
bring,VERB,3,B
broad,ADJ,3,B
broadly,ADV,3,B
broken,ADJ,2,A
bronze,NOUN,3,B
brother,NOUN,1,A
brown,ADJ,1,A
brush,NOUN,2,A
brush,VERB,1,A
budget,NOUN,3,B
build,VERB,1,A
builder,NOUN,1,A
building,NOUN,2,A
bump,VERB,4,B
bunch,NOUN,3,B
bundle,NOUN,4,B
burden,NOUN,4,B
bureaucracy,NOUN,5,C
burglar,NOUN,2,A
burn,VERB,2,A
burst,VERB,4,B
bury,VERB,3,B
bus,NOUN,1,A
bush,NOUN,2,A
business,NOUN,1,A
businessman,NOUN,1,A
busy,ADJ,2,A
but,CONJ,1,A
butter,NOUN,2,A
button,NOUN,2,A
buy,VERB,1,A
buyer,NOUN,2,A
by,ADP,2,A
by,ADV,2,A
bye,ADP,1,A
cab,NOUN,2,A
cab,NOUN,2,A
cable,NOUN,4,B
cake,NOUN,2,A
calculate,VERB,3,B
calculation,NOUN,4,B
calendar,NOUN,2,A
call,NOUN,1,A
call,VERB,2,A
camera,NOUN,1,A
camp,NOUN,2,A
campaign,NOUN,4,B
can,NOUN,1,A
can,VERB,1,A
canal,NOUN,3,B
cancel,VERB,2,A
