word,pos,cefr_int,cefr
ban,NOUN,4,B
booklet,NOUN,4,B
chart,NOUN,4,B
colon,NOUN,4,B
appeal,NOUN,5,C
claim,NOUN,5,C
cliché,NOUN,6,C
advice,NOUN,2,A
blame,NOUN,4,B
chat,NOUN,2,A
apology,NOUN,3,B
code,NOUN,4,B
attack,NOUN,6,C
chat,VERB,2,A
apologise,VERB,3,B
argue,VERB,3,B
check,VERB,4,B
cheer,VERB,4,B
appeal,VERB,5,C
ask,VERB,2,A
add,VERB,3,B
announce,VERB,3,B
approve,VERB,3,B
blame,VERB,3,B
amuse,VERB,4,B
assume,VERB,4,B
assure,VERB,4,B
call,VERB,4,B
capture,VERB,4,B
challenge,VERB,4,B
claim,VERB,4,B
clarify,VERB,5,C
allege,VERB,6,C
answer,VERB,1,A
agree,VERB,2,A
admit,VERB,3,B
advise,VERB,3,B
beg,VERB,4,B
boast,VERB,4,B
burglar,NOUN,4,B
arrest,NOUN,4,B
burglary,NOUN,4,B
arrest,VERB,3,B
centimetre,NOUN,2,A
circle,NOUN,2,A
amount,NOUN,3,B
average,NOUN,3,B
bar,NOUN,3,B
base,NOUN,4,B
block,NOUN,4,B
angle,NOUN,5,C
acre,NOUN,6,C
black,NOUN,2,A
accuracy,NOUN,4,B
colour,NOUN,1,A
blue,NOUN,2,A
brown,NOUN,2,A
blackboard,NOUN,2,A
candidate,NOUN,3,B
branch,NOUN,4,B
chemistry,NOUN,2,A
class,NOUN,1,A
biscuit,NOUN,1,A
café,NOUN,1,A
barbecue,NOUN,2,A
bean,NOUN,2,A
bottle,NOUN,2,A
bowl,NOUN,2,A
burger,NOUN,2,A
can,NOUN,2,A
canteen,NOUN,3,B
bun,NOUN,4,B
cherry,NOUN,4,B
casserole,NOUN,6,C
bread,NOUN,1,A
butter,NOUN,1,A
beef,NOUN,3,B
broccoli,NOUN,3,B
apple,NOUN,1,A
banana,NOUN,1,A
breakfast,NOUN,1,A
cake,NOUN,1,A
cheese,NOUN,1,A
chocolate,NOUN,1,A
coffee,NOUN,1,A
cereal,NOUN,2,A
chilli,NOUN,2,A
cola,NOUN,2,A
cabbage,NOUN,3,B
coconut,NOUN,3,B
aubergine,NOUN,4,B
appetite,NOUN,5,C
barbecue,VERB,3,B
boil,VERB,3,B
bake,VERB,2,A
address,NOUN,1,A
bath,NOUN,1,A
bathroom,NOUN,1,A
bedroom,NOUN,1,A
chair,NOUN,1,A
apartment,NOUN,2,A
armchair,NOUN,2,A
blanket,NOUN,2,A
board,NOUN,2,A
bookcase,NOUN,2,A
bookshelf,NOUN,2,A
castle,NOUN,2,A
ceiling,NOUN,2,A
centre,NOUN,2,A
area,NOUN,3,B
balcony,NOUN,3,B
basin,NOUN,3,B
bin,NOUN,3,B
candle,NOUN,3,B
barrier,NOUN,4,B
basement,NOUN,4,B
bench,NOUN,4,B
brick,NOUN,4,B
cabinet,NOUN,4,B
cellar,NOUN,4,B
chimney,NOUN,4,B
cloth,NOUN,4,B
cabin,NOUN,5,C
architecture,NOUN,3,B
bed,NOUN,1,A
carpet,NOUN,2,A
atmosphere,NOUN,4,B
bank,NOUN,1,A
cent,NOUN,2,A
cheque,NOUN,2,A
coin,NOUN,3,B
award,NOUN,4,B
balance,NOUN,4,B
budget,NOUN,4,B
bid,NOUN,6,C
change,NOUN,3,B
borrow,VERB,2,A
change,VERB,2,A
beach,NOUN,1,A
bay,NOUN,3,B
breeze,NOUN,3,B
cave,NOUN,3,B
cliff,NOUN,3,B
coast,NOUN,3,B
atom,NOUN,4,B
berry,NOUN,4,B
bush,NOUN,4,B
cloud,NOUN,4,B
air,NOUN,2,A
aluminium,NOUN,4,B
carbon,NOUN,4,B
astronomy,NOUN,6,C
autumn,NOUN,2,A
climate,NOUN,3,B
acid,NOUN,4,B
coastline,NOUN,6,C
blow,VERB,3,B
break,VERB,6,C
check,NOUN,3,B
attempt,NOUN,4,B
capture,NOUN,5,C
come,VERB,1,A
behave,VERB,3,B
adjust,VERB,4,B
campaign,VERB,5,C
cling,VERB,6,C
clean,VERB,1,A
colour,VERB,1,A
bring,VERB,2,A
brush,VERB,2,A
collect,VERB,2,A
achieve,VERB,3,B
attach,VERB,3,B
attempt,VERB,3,B
avoid,VERB,3,B
bury,VERB,3,B
cancel,VERB,3,B
circle,VERB,3,B
clear,VERB,3,B
adapt,VERB,4,B
adopt,VERB,4,B
analyse,VERB,4,B
arrange,VERB,4,B
assess,VERB,4,B
burgle,VERB,4,B
calculate,VERB,4,B
clutch,VERB,6,C
choose,VERB,1,A
close,VERB,1,A
climb,VERB,2,A
approach,VERB,3,B
attend,VERB,3,B
babysit,VERB,3,B
clap,VERB,3,B
assist,VERB,4,B
balance,VERB,4,B
bang,VERB,4,B
bend,VERB,4,B
charge,VERB,4,B
chase,VERB,4,B
combine,VERB,4,B
carve,VERB,6,C
adult,NOUN,1,A
beard,NOUN,1,A
boy,NOUN,1,A
comb,NOUN,2,A
adolescent,NOUN,6,C
beauty,NOUN,3,B
childhood,NOUN,3,B
bit,NOUN,2,A
chance,NOUN,4,B
bully,NOUN,5,C
anger,NOUN,4,B
anxiety,NOUN,4,B
certainty,NOUN,4,B
charisma,NOUN,6,C
attitude,NOUN,3,B
charm,NOUN,4,B
care,VERB,3,B
belong,VERB,4,B
blush,VERB,4,B
believe,VERB,2,A
bother,VERB,2,A
annoy,VERB,3,B
attract,VERB,3,B
admire,VERB,4,B
appreciate,VERB,4,B
bear,VERB,4,B
betray,VERB,4,B
cheat,VERB,4,B
capital,NOUN,2,A
citizen,NOUN,4,B
chancellor,NOUN,6,C
birthday,NOUN,1,A
brother,NOUN,1,A
aunt,NOUN,2,A
boyfriend,NOUN,2,A
anniversary,NOUN,3,B
bride,NOUN,3,B
ceremony,NOUN,3,B
affair,NOUN,4,B
bond,NOUN,4,B
brother-in-law,NOUN,4,B
bond,VERB,6,C
celebrate,VERB,3,B
bag,NOUN,1,A
ball,NOUN,1,A
box,NOUN,1,A
bookshop,NOUN,2,A
basket,NOUN,3,B
captain,NOUN,3,B
chain,NOUN,3,B
champion,NOUN,3,B
checkout,NOUN,3,B
brand,NOUN,4,B
catalogue,NOUN,4,B
business,NOUN,1,A
badminton,NOUN,2,A
chess,NOUN,2,A
athletics,NOUN,3,B
basketball,NOUN,1,A
baseball,NOUN,2,A
appear,VERB,4,B
browse,VERB,4,B
CD,NOUN,1,A
backup,NOUN,4,B
bookmark,NOUN,4,B
bulb,NOUN,4,B
chip,NOUN,4,B
access,NOUN,3,B
broadband,NOUN,4,B
CD-ROM,NOUN,3,B
access,VERB,4,B
bookmark,VERB,4,B
boat,NOUN,1,A
bus,NOUN,1,A
car,NOUN,1,A
aeroplane,NOUN,2,A
airport,NOUN,2,A
bicycle,NOUN,2,A
coach,NOUN,2,A
brake,NOUN,3,B
